Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	SB_4_64_SH_AYa2022_R1.raw	SB_4_64_SH_AYa2022_R2.raw	SB_4_64_SH_AYa2022_R3.raw	SB_4_64_SH_WT_R1.raw	SB_4_64_SH_WT_R2.raw	SB_4_64_SH_WT_R3.raw	SB_4_64_SH_AY_R1.raw	SB_4_64_SH_AY_R2.raw	SB_4_64_SH_AY_R3.raw	SB_4_64_SH_AYa18_R1.raw	SB_4_64_SH_AYa18_R2.raw	SB_4_64_SH_AYa18_R3.raw
P40096	NCB1_YEAST	BUR6		3	3	535010.0	946142.0	727510.0	1038920.0	829875.0	443283.0	1218910.0	756072.0	455981.0	1016610.0	885959.0	169364.0
P40098	FMP10_YEAST	FMP10		21	21	98399000.0	106407000.0	140828000.0	106880000.0	97549200.0	135108000.0	113306000.0	134323000.0	138922000.0	103824000.0	111822000.0	133406000.0
P40099	FTHC_YEAST	FAU1		7	7	35430800.0	33558700.0	30124800.0	29178000.0	29042200.0	30177200.0	25617500.0	34024100.0	30471800.0	28190400.0	31516900.0	30339700.0
P40106	GPP2_YEAST	GPP2		3	3	10189400.0	6189310.0	4601260.0	11213500.0	6240530.0	3044880.0	16884800.0	8396620.0	3463170.0	11034000.0	11032700.0	2632660.0
P40107	GMT1_YEAST	VRG4		2	2		1305240.0			3428370.0		10682000.0	1808940.0		3029470.0		
P40150	SSB2_YEAST	SSB2		3	3	171475000.0	180465000.0	79323900.0	204921000.0	116603000.0	50040900.0	407738000.0	136098000.0	62460800.0	176862000.0	114132000.0	39685900.0
P40152	PPN2_YEAST	PPN2		7	7	5134080.0	3513400.0	1059590.0	4235800.0	1947210.0	221229.0	5545830.0	2324490.0	506233.0	4603530.0	3355050.0	1045830.0
P40154	IES2_YEAST	IES2		3	3	1466370.0	4428080.0	1453610.0	2839170.0	3101310.0		2925000.0	2171860.0	626519.0	3199510.0	1206450.0	
P40155	PEX17_YEAST	PEX17		5	5	8048360.0	4118500.0	3479650.0	5141340.0	2199540.0		3563380.0	4265790.0	1334010.0	4830010.0	4943810.0	
P40156	RRG9_YEAST	RRG9		8	8	2369650.0	2138140.0	2415290.0	1753750.0	1733090.0	1993530.0	2230220.0	3081320.0	2927780.0	2649840.0	2176800.0	3223260.0
P40157	VID27_YEAST	VID27		14	14	3303860.0	6479880.0	2123690.0	4788320.0	2310990.0	1365870.0	6241330.0	5362660.0	1943500.0	5205040.0	6938880.0	1277670.0
P40159	YNU8_YEAST	YNL208W		9	9	463725000.0	937123000.0	899281000.0	714396000.0	1143070000.0	685044000.0	1045080000.0	831743000.0	619441000.0	623006000.0	1025710000.0	511239000.0
P40160	RIO2_YEAST	RIO2		14	14	6106800.0	7522410.0	8809580.0	4708700.0	2744180.0	3684290.0	12994100.0	6073000.0	14853200.0	9749600.0	8084840.0	11374100.0
P40161	RT106_YEAST	RTT106		1	1	3065520.0	1922820.0		5533930.0	2245120.0		2963470.0	2376310.0		4371570.0	2939230.0	
P40165	NNRE_YEAST	NNR1		5	5	52540500.0	50509100.0	40263000.0	56386600.0	69684200.0	74367700.0	60585800.0	35338600.0	40344100.0	60522300.0	48772800.0	54245200.0
P40168	YNT5_YEAST	YNL195C		4	4	2781400.0	2363370.0		8341060.0	3244630.0		8545690.0	1278350.0		7099170.0	2753020.0	769648.0
P40169	YNT4_YEAST	YNL194C		9	9	154200000.0	205295000.0	43142900.0	240881000.0	189500000.0	37837300.0	284466000.0	188203000.0	46483100.0	193396000.0	226689000.0	34377900.0
P40185	MMF1_YEAST	MMF1		11	11	1748190000.0	1596090000.0	1737330000.0	1362100000.0	1419860000.0	1638650000.0	1788030000.0	2503920000.0	2095270000.0	1835660000.0	2310600000.0	3608550000.0
P40187	PIG2_YEAST	PIG2		1	1	70676.6	33970.2	26055.1	31674.4			135295.0			57281.4	47055.7	
P40188	RGI2_YEAST	RGI2		8	8	10015000.0	10180700.0	2270100.0	16064600.0	10323400.0	7651100.0	9810360.0	12372600.0	3407010.0	11181500.0	19810300.0	2161570.0
P40202	CCS1_YEAST	CCS1		9	9	17171300.0	14074000.0	10741100.0	19195500.0	18725200.0	10085700.0	22297000.0	16692400.0	10900900.0	11540000.0	20563600.0	11889700.0
P40207	ERG29_YEAST	ERG29		9	9	36712900.0	37331400.0	16768900.0	58126500.0	32553600.0	6565290.0	39522300.0	29405200.0	7393040.0	32847200.0	37576000.0	4067720.0
P40210	SIP5_YEAST	SIP5		10	10	3569070.0	2139210.0	963544.0	3348610.0	1846100.0	676100.0	5196610.0	1426480.0	573978.0	4439820.0	2618690.0	1071430.0
P40212	RL13B_YEAST	RPL13B		13	0	317893000.0	214068000.0	147738000.0	368761000.0	182597000.0	129211000.0	459658000.0	157040000.0	90310500.0	303645000.0	231382000.0	66451800.0
P40215	NDH1_YEAST	NDE1		47	46	1815080000.0	1882740000.0	2088770000.0	2333650000.0	1904410000.0	2129750000.0	2040390000.0	1896240000.0	1762330000.0	1719410000.0	1730450000.0	1422510000.0
P40217	EIF3I_YEAST	TIF34		13	13	11936600.0	10186200.0	7946770.0	12873400.0	6585320.0	6020000.0	22267700.0	6613220.0	7095250.0	11801600.0	8849970.0	7485060.0
P40218	LDO45_YEAST	LDO45		3	1	870424.0	1459700.0	914320.0	662424.0			156275.0	2350980.0	1126890.0	864082.0	1203100.0	480762.0
P40260	MEP1_YEAST	MEP1		2	2	1062740.0	887406.0	433317.0	772631.0	366187.0	69676.9	484642.0	806583.0	467740.0	1328470.0	909359.0	331515.0
P40302	PSA6_YEAST	PRE5		13	13	15261200.0	17464700.0	11012000.0	21808800.0	14230700.0	6013400.0	36902600.0	10792200.0	12797700.0	17637500.0	14956200.0	9956980.0
P40303	PSA4_YEAST	PRE6		9	9	20791200.0	28458800.0	14927600.0	32748800.0	20514000.0	9856330.0	55314300.0	22057800.0	20657800.0	25538800.0	22355400.0	16139400.0
P40308	TGL3_YEAST	TGL3		5	5	8928380.0	6899840.0	3228030.0	5697970.0	2813780.0	3560570.0	9427930.0	5940100.0	2294830.0	5824950.0	5997050.0	2386400.0
P40312	CYB5_YEAST	CYB5		4	4	142258000.0	133914000.0	108225000.0	145056000.0	82707800.0	22088500.0	134666000.0	105021000.0	55727300.0	59418200.0	54844200.0	27424200.0
P40317	SOK1_YEAST	SOK1		4	4	282366.0	170368.0	284625.0	179984.0		251153.0	349502.0		213062.0	318900.0	169042.0	204022.0
P40318	DOA10_YEAST	SSM4		23	23	103627000.0	93289700.0	52846400.0	126893000.0	62572600.0	19112600.0	96421700.0	97964400.0	25702300.0	89617800.0	119221000.0	15630300.0
P40319	ELO3_YEAST	ELO3		5	5	165253000.0	137376000.0	62886100.0	180273000.0	79890200.0	26724500.0	149347000.0	112780000.0	41090300.0	150648000.0	136402000.0	32694200.0
P40327	PRS4_YEAST	RPT2		12	12	7825120.0	6216160.0	5312160.0	10987000.0	6411930.0	2701320.0	16248600.0	3894790.0	5204550.0	8780240.0	5285970.0	6835100.0
P40328	TBP6_YEAST	YTA6		10	10	8657240.0	6049950.0	7977340.0	17913700.0	8629030.0	3328430.0	22526800.0	11709900.0	6511580.0	13065200.0	18498900.0	3760660.0
P40335	PEP8_YEAST	PEP8		10	10	9926470.0	8058070.0	2809560.0	10243900.0	7404900.0	3165480.0	13753100.0	5872270.0	1603260.0	10879200.0	6246430.0	1360360.0
